# Lyresong Tabulature Format
# Title: Iliad Book 3 - Lyresong A4-G4-E4-A4 for scale E4,F4,G4,A4,B4,C5,D5
# Subtitle: Iliad Book 3 - 461/461 lines passed prosody validation
# Scale: E4 F4 G4 A4 B4 C5 D5
#
# Format: Line#[*] | Notes | Greek Text | Pleasantness
# [*] indicates lines with constraint violations
#
# Note durations: circumflex syllables get two notes, long syllables get longer duration
#

  1  | C5= D5 C5 D5= D5= B4= A4 F4 G4= B4 D5 C5= A4 D5 C5= D5=      | Αὐτὰρ ἐπεὶ κόσμηθεν ἅμ’ ἡγεμόνεσσιν ἕκαστοι,                                     | 0.741
  2  | B4-G4 A4= C5= D5= B4-G4 D5 B4 B4-G4 D5 D5 D5= D5= D5= D5=    | Τρῶες μὲν κλαγγῇ τ’ἐνοπῇ τ’ἴσαν ὄρνιθες ὣς                                       | 0.739
  3  | C5= D5 B4 G4= F4= G4= B4 D5 C5= D5 B4 D5= C5 D5 C5= A4=      | ἠΰτε περ κλαγγὴ γεράνων πέλει οὐρανόθι πρό·                                      | 0.732
  4  | F4= A4 E4 B4-G4 A4= D5-B4 B4 D5 A4= G4 G4 D5= D5 C5 D5= A4=  | αἵ τ’ἐπεὶ οὖν χειμῶνα φύγον καὶ ἀθέσφατον ὄμβρον                                 | 0.719
  5  | B4= B4-A4 C5= D5 D5 B4= A4 F4 E4= F4 G4 B4-A4 B4 D5 D5= B4=  | κλαγγῇ ταί γε πέτονται ἐπ’ ὠκεανοῖο ῥοάων                                        | 0.733
  6  | D5= D5 G4 B4= D5= C5= D5 D5 C5= B4= D5-B4 B4 D5 F4= A4=      | ἀνδράσι Πυγμαίοισι φόνον καὶ κῆρα φέρουσαι·                                      | 0.690
  7  | E4= B4 G4 B4= A4 E4 D5= G4 B4 C5= C5 C5 C5= A4 B4 A4= A4=    | ἠέριαι δ’ἄρα ταί γε κακὴν ἔριδα προφέρονται.                                     | 0.751
  8  | F4= A4 G4 G4= G4= G4-F4 A4 F4 A4= D5= D5= C5 F4 F4= B4=      | Οἳ δ’ἄρ’ ἴσαν σιγῇ μένεα πνείοντες Ἀχαιοὶ                                        | 0.680
  9  | B4= B4= D5-C5 A4 C5 C5-B4 G4 E4 F4= A4 E4 G4= B4= E4= G4=    | ἐν θυμῷ μεμαῶτες ἀλεξέμεν ἀλλήλοισιν.                                            | 0.699
 10  | D5-B4 D5 C5 E4= G4 D5 A4-F4 A4 D5 D5= D5 D5 D5= D5 C5 D5= B4= | Εὖτ’ ὄρεος κορυφῇσι Νότος κατέχευεν ὀμίχλην                                      | 0.744
 11  | G4= A4 A4 E4= A4 A4 F4= A4= A4= D5 C5 A4= E4 F4 G4= E4=      | ποιμέσιν οὔ τι φίλην, κλέπτῃ δέ τε νυκτὸς ἀμείνω,                                | 0.723
 12  | B4= E4= G4= E4 G4 B4= B4 C5 G4= G4 A4 G4-F4 G4 G4 E4= G4=    | τόσσόν τίς τ’ἐπιλεύσσει ὅσον τ’ἐπὶ λᾶαν ἵησιν·                                   | 0.721
 13  | D5= D5 D5 B4-G4 B4 E4 F4= B4 A4 D5= D5 D5 D5= G4 G4 D5= D5=  | ὣς ἄρα τῶν ὑπὸ ποσσὶ κονίσαλος ὄρνυτ’ ἀελλὴς                                     | 0.749
 14  | B4= D5 D5 C5= D5 B4 B4-A4 F4 A4 D5= B4= G4= B4 D5 B4= D5=    | ἐρχομένων· μάλα δ’ὦκα διέπρησσον πεδίοιο.                                        | 0.707
 15  | G4= D5 C5 A4= B4 G4 G4-F4 G4 G4 A4= D5= C5= D5 C5 D5= C5=    | Οἳ δ’ὅτε δὴ σχεδὸν ἦσαν ἐπ’ ἀλλήλοισιν ἰόντες,                                   | 0.695
 16  | C5= D5= G4= B4 D5 C5= A4 B4 D5= B4= G4= F4 A4 B4= G4=        | Τρωσὶν μὲν προμάχιζεν Ἀλέξανδρος θεοειδὴς                                        | 0.707
